,Voltage,Current,Action
393,298.4321675,221.6924346,0
394,298.4321675,221.6924346,0
395,298.4321675,221.6924346,0
396,298.4321675,221.6924346,0
397,298.4321675,221.6924346,0
398,298.4321675,221.6924346,0
399,298.4321675,221.6924346,0
400,298.4321675,221.6924346,0
401,298.4321675,221.6924346,0
402,298.4321675,221.6924346,0
403,298.4321675,221.6924346,0
404,298.4321675,221.6924346,0
405,298.4321675,221.6924346,0
406,298.4321675,221.6924346,0
407,298.4321675,221.6924346,0
408,298.4321675,221.6924346,0
409,298.4321675,221.6924346,0
410,298.4321675,221.6924346,0
411,298.4321675,221.6924346,0
412,298.4321675,221.6924346,0
413,295.5899564,221.6924346,0
414,295.5899564,221.6924346,0
415,295.5899564,221.6924346,0
416,295.5899564,221.6924346,0
417,287.063323,221.6924346,0
418,287.063323,221.6924346,0
419,264.3256341,221.6924346,0
420,264.3256341,221.6924346,0
421,264.3256341,221.6924346,0
422,264.3256341,218.8502239,0
423,264.3256341,196.1125383,0
424,264.3256341,196.1125383,0
425,264.3256341,196.1125383,0
426,264.3256341,196.1125383,0
427,264.3256341,196.1125383,0
428,264.3256341,196.1125383,0
429,264.3256341,196.1125383,0
430,264.3256341,196.1125383,0
431,241.5879451,196.1125383,0
432,241.5879451,196.1125383,0
433,241.5879451,196.1125383,0
434,241.5879451,196.1125383,0
435,241.5879451,196.1125383,0
436,241.5879451,196.1125383,0
437,241.5879451,190.4281169,0
438,230.2191007,190.4281169,0
439,230.2191007,190.4281169,0
440,230.2191007,181.9014848,0
441,230.2191007,181.9014848,0
442,230.2191007,181.9014848,0
443,230.2191007,181.9014848,0
444,230.2191007,181.9014848,0
445,230.2191007,181.9014848,0
446,230.2191007,181.9014848,0
447,230.2191007,181.9014848,0
448,230.2191007,181.9014848,0
449,230.2191007,181.9014848,0
450,233.0613118,181.9014848,0
451,233.0613118,181.9014848,0
452,233.0613118,181.9014848,0
453,233.0613118,181.9014848,0
454,233.0613118,181.9014848,0
455,233.0613118,181.9014848,0
456,233.0613118,181.9014848,0
457,233.0613118,181.9014848,0
458,233.0613118,181.9014848,0
459,233.0613118,181.9014848,0
460,233.0613118,181.9014848,0
461,233.0613118,187.5859062,0
462,233.0613118,187.5859062,0
463,233.0613118,187.5859062,0
464,233.0613118,187.5859062,0
465,233.0613118,190.4281169,0
466,241.5879451,190.4281169,0
467,241.5879451,190.4281169,0
468,241.5879451,190.4281169,0
469,241.5879451,190.4281169,0
470,241.5879451,190.4281169,0
471,241.5879451,190.4281169,0
472,241.5879451,190.4281169,0
473,241.5879451,190.4281169,0
474,241.5879451,193.2703276,0
475,241.5879451,193.2703276,0
476,241.5879451,193.2703276,0
477,241.5879451,193.2703276,0
478,241.5879451,193.2703276,0
479,241.5879451,193.2703276,0
480,241.5879451,193.2703276,0
481,241.5879451,193.2703276,0
482,241.5879451,193.2703276,0
483,241.5879451,193.2703276,0
484,241.5879451,193.2703276,0
485,241.5879451,193.2703276,0
486,241.5879451,193.2703276,0
487,241.5879451,193.2703276,0
488,241.5879451,193.2703276,0
489,241.5879451,193.2703276,0
490,241.5879451,193.2703276,0
491,241.5879451,193.2703276,0
492,241.5879451,193.2703276,0
493,241.5879451,204.6391704,0
494,241.5879451,204.6391704,0
495,244.4301563,204.6391704,0
496,244.4301563,204.6391704,0
497,244.4301563,204.6391704,0
498,244.4301563,204.6391704,0
499,244.4301563,204.6391704,0
500,244.4301563,204.6391704,0
501,244.4301563,204.6391704,0
502,244.4301563,210.3235918,0
503,244.4301563,210.3235918,0
504,244.4301563,210.3235918,0
505,244.4301563,210.3235918,0
506,244.4301563,210.3235918,0
507,247.2723674,210.3235918,0
508,247.2723674,210.3235918,0
509,247.2723674,210.3235918,0
510,247.2723674,210.3235918,0
511,252.9567896,210.3235918,0
512,252.9567896,210.3235918,0
513,252.9567896,210.3235918,0
514,252.9567896,210.3235918,0
515,252.9567896,210.3235918,0
516,252.9567896,210.3235918,0
517,252.9567896,210.3235918,0
518,252.9567896,210.3235918,0
519,252.9567896,210.3235918,0
520,252.9567896,210.3235918,0
521,252.9567896,210.3235918,0
522,252.9567896,210.3235918,0
523,252.9567896,210.3235918,0
524,252.9567896,210.3235918,0
525,252.9567896,210.3235918,0
526,252.9567896,210.3235918,0
527,252.9567896,210.3235918,0
528,252.9567896,210.3235918,0
529,252.9567896,210.3235918,0
530,252.9567896,210.3235918,0
531,255.7990007,210.3235918,0
532,255.7990007,210.3235918,0
533,255.7990007,210.3235918,0
534,255.7990007,210.3235918,0
535,255.7990007,210.3235918,0
536,255.7990007,210.3235918,0
537,255.7990007,210.3235918,0
538,255.7990007,210.3235918,0
539,255.7990007,210.3235918,0
540,255.7990007,210.3235918,0
541,255.7990007,210.3235918,0
542,255.7990007,210.3235918,0
543,255.7990007,210.3235918,0
544,258.6412119,210.3235918,0
545,258.6412119,210.3235918,0
546,258.6412119,210.3235918,0
547,258.6412119,210.3235918,0
548,258.6412119,210.3235918,0
549,258.6412119,210.3235918,0
550,258.6412119,210.3235918,0
551,258.6412119,210.3235918,0
552,258.6412119,210.3235918,0
553,258.6412119,210.3235918,0
554,258.6412119,210.3235918,0
555,258.6412119,210.3235918,0
556,258.6412119,210.3235918,0
557,258.6412119,210.3235918,0
558,258.6412119,210.3235918,0
559,258.6412119,210.3235918,0
560,258.6412119,210.3235918,0
561,258.6412119,210.3235918,0
562,258.6412119,210.3235918,0
